,index,Unnamed: 0,entity,description,category,node_occurence_flag
842,842,2786,v1 pods,pods running the v1 version of an app,container,Single
843,843,2787,v2 pods,pods running the v2 version of an app,container,Single
844,844,2792,ReplicaSet v1,an instance of ReplicaSet running the v1 version,software,Single
845,845,2793,ReplicaSet v2,an instance of ReplicaSet running the v2 version,software,Single
846,846,2803,requestCount,A variable that keeps track of the number of requests,variable,Single
847,847,2807,500 error,An internal server error with an HTTP status code of 500,error,Single
848,848,2816,kubia-1914148340-lalmx,A specific pod name.,pod,Single
849,849,2817,internal error,An error that occurs within the application.,error,Single
850,850,2818,kubectl rollout undo,The command to roll back a Deployment.,command,Single
851,851,2822,rollout history,displaying a deployment's rollout history using kubectl command,application,Single
852,852,2825,--record command-line option,option for recording the cause of changes in Deployments,software,Single
853,853,2826,CHANGE-CAUSE column,column in the revision history that shows the reason for each change,database,Single
854,854,2827,revisionHistoryLimit property,property on the Deployment resource that limits the length of the revision history,application,Single
855,855,2828,ReplicaSet list,list of ReplicaSets associated with a Deployment,database,Single
856,856,2830,revision history,"history of changes to a Deployment, stored in ReplicaSets",database,Single
857,857,2831,--to-revision option,option for specifying the revision to roll back to,software,Single
858,858,2832,undo command,command for rolling back a Deployment to a previous revision,application,Single
859,859,2835,revisionHistoryLimit,A property that controls the number of revisions kept by a Deployment,software,Single
860,860,2836,apps/v1beta2,A version of Deployments,software,Single
861,861,2851,v1beta1,version of Deployments,software,Single
862,862,2852,extensions,API group in Kubernetes,network,Single
863,863,2855,Desired replica count,number of desired replicas for a deployment,process,Single
864,864,2860,resume,A command used to resume a paused Deployment and start the rollout process.,command,Single
865,865,2869,kubectl apply command,A command used to update the deployment with a readiness probe,command,Single
866,866,2892,readinessProbe,A mechanism to check if a pod is ready to serve traffic,process,Single
867,867,2894,kubia-deployment-v3-with-readinesscheck.yaml,A YAML file containing the deployment configuration,file,Single
868,868,2900,periodSeconds,The interval at which a readiness probe is executed,parameter,Single
869,869,2916,ProgressDeadlineExceeded,A condition that is displayed when the rollout can't make progress within the specified deadline.,condition,Single
870,870,2917,progressDeadlineSeconds,A property in the Deployment spec that sets the time after which a Deployment is considered failed if it can't make progress.,property,Single
871,871,2919,kubectl rollout undo deployment,A command used to abort a bad rollout by rolling back the Deployment.,command,Single
872,872,2936,DNS SRV records,discovering peers through DNS SRV records,"network,process",Single
873,873,2943,Storage volume,Persistent storage resource for a pod,database,Single
874,874,2952,ReplicaSet A1,a ReplicaSet with 1 instance,container,Single
875,875,2953,Pod A1-xyz,a pod with a unique identifier xyz,container,Single
876,876,2954,PVC A2,Persistent Volume Claim for replica set A2,storage,Single
877,877,2955,PV A2,Persistent Volume for replica set A2,storage,Single
878,878,2956,ReplicaSet A2,a ReplicaSet with 1 instance,container,Single
879,879,2957,Pod A2-xzy,a pod with a unique identifier xzy,container,Single
880,880,2958,PVC A3,Persistent Volume Claim for replica set A3,storage,Single
881,881,2959,PV A3,Persistent Volume for replica set A3,storage,Single
882,882,2960,ReplicaSet A3,a ReplicaSet with 1 instance,container,Single
883,883,2961,Pod A3-zyx,a pod with a unique identifier zyx,container,Single
884,884,2981,Stateful pods,a type of pod that requires a stable name and state,software,Single
885,885,2982,Pets vs. Cattle analogy,a metaphor for treating app instances as either pets or cattle,concept,Single
886,886,2983,Stateless apps,applications where instances can be replaced without affecting the overall application,software,Single
887,887,2984,Stateful apps,"applications where instances have a stable name and state, requiring special treatment when an instance dies",software,Single
888,888,2994,headless Service,A Service that provides network identity without creating a load balancer.,software,Single
889,889,2995,DNS entry,A record in the DNS system that maps a hostname to an IP address.,network,Single
890,890,3004,foo.default.svc.cluster.local,domain for StatefulSet's pods' names,network,Single
891,891,3005,a-0.foo.default.svc.cluster.local,fully qualified domain name of Pod A-0,network,Single
892,892,3014,StatefulSets scale down,The process of scaling down a StatefulSet,process,Single
893,893,3015,distributed data store,A type of database that stores data across multiple nodes,database,Single
894,894,3016,data entry,A single unit of data stored in a database,database,Single
895,895,3020,PersistentVolume-Claims,allow persistent storage to be attached to a pod by referencing the PersistentVolumeClaim in the pod by name,database,Single
896,896,3024,volume claim templates,enable a StatefulSet to stamp out PersistentVolumeClaims along with each pod instance,process,Single
897,897,3027,replicas field,field in a StatefulSet that determines how many replicas to create,application,Single
898,898,3029,PVC A-0,PersistentVolumeClaim for pod A-0,database,Single
899,899,3032,PVC A-1,PersistentVolumeClaim for pod A-1,database,Single
900,900,3034,Pod A-1,"stateful pod that runs a stateful application, associated with PVC A-1 and PV",container,Single
901,901,3035,PVC A-2,PersistentVolumeClaim for pod A-2,database,Single
902,902,3037,Pod A-2,"stateful pod that runs a stateful application, associated with PVC A-2 and PV",container,Single
903,903,3046,scale-up,The process of increasing the number of replicas in a Kubernetes resource.,process,Single
904,904,3055,Data store,a simple clustered data store used as an example in the chapter,application,Single
905,905,3056,Kubia app,the starting point for building a stateful application,application,Single
906,906,3058,fs.createWriteStream(),a function used to create a write stream for writing data to a file,programming language,Single
907,907,3059,request.pipe(),a method used to pipe the request body into a write stream,programming language,Single
908,908,3060,fs.readFileSync(),a function used to read data from a file synchronously,programming language,Single
909,909,3061,fileExists(),a function used to check if a file exists,programming language,Single
910,910,3068,node:7,A Docker base image based on Node.js version 7.,container,Single
911,911,3070,http.createServer(handler),A Node.js function that creates an HTTP server and sets up a handler function.,process,Single
912,912,3071,listen(8080),A method call to start the HTTP server listening on port 8080.,process,Single
913,913,3074,gcloud compute disks create,A command to create a Google Compute Engine persistent disk.,command,Single
914,914,3079,List,object and listing the resources as items of the object,data structure,Single
915,915,3082,NFS (Network File System),volume type,software,Single
916,916,3086,"pv-a, pv-b, and pv-c",PersistentVolumes names,resource,Single
